flag,maturity,strike,Price
put,0.9722222222222222,3900,51.0500000005
put,0.9722222222222222,4200,94.69999694500001
put,0.9722222222222222,4250,102.099998475
put,0.9722222222222222,4300,110.0
put,0.9722222222222222,4350,118.64999385
put,0.9722222222222222,4400,128.0
put,0.9722222222222222,4450,138.19999695
put,0.9722222222222222,4500,149.0999985
put,0.9722222222222222,4550,160.9500046
put,0.9722222222222222,4600,173.94999695
put,0.9722222222222222,4650,187.80000305
put,0.9722222222222222,4700,202.9000015
put,0.9722222222222222,4750,219.2000046
put,0.9722222222222222,4800,236.8999939
put,0.9722222222222222,4850,256.1999283
put,0.9722222222222222,4900,276.7998047
put,0.9722222222222222,4950,299.0
put,0.9722222222222222,5000,322.8999023
put,0.9722222222222222,5050,348.2998047
put,0.9722222222222222,5100,375.3999023
put,0.9722222222222222,5150,404.14990235
put,0.9722222222222222,5200,434.3999023
put,0.9722222222222222,5250,466.2998047
put,0.9722222222222222,5300,499.5999756
put,0.9722222222222222,5350,534.3999023
put,0.9722222222222222,5400,570.5998535
put,1.1507936507936507,500,0.449999988
put,1.1507936507936507,800,0.5500001905
put,1.1507936507936507,1000,0.6999998095
put,1.1507936507936507,2300,8.450000286
put,1.1507936507936507,2400,9.749999999500002
put,1.1507936507936507,2500,11.25
put,1.1507936507936507,2600,12.89999962
put,1.1507936507936507,2700,14.80000019
put,1.1507936507936507,2800,16.900000095
put,1.1507936507936507,2900,19.25
put,1.1507936507936507,3000,21.949989315
put,1.1507936507936507,3100,25.0
put,1.1507936507936507,3200,28.44999695
put,1.1507936507936507,3300,32.349998475
put,1.1507936507936507,3400,36.900001525
put,1.1507936507936507,3500,42.150001525
put,1.1507936507936507,3600,48.150001525
put,1.1507936507936507,3700,55.200004575
put,1.1507936507936507,3800,63.30000305
put,1.1507936507936507,3900,72.75
put,1.1507936507936507,4000,83.599998475
put,1.1507936507936507,4100,96.24999237
put,1.1507936507936507,4200,110.65000155
put,1.1507936507936507,4300,127.3499985
put,1.1507936507936507,4350,136.7000046
put,1.1507936507936507,4400,146.7000046
put,1.1507936507936507,4500,168.80000305
put,1.1507936507936507,4600,194.30000305
put,1.1507936507936507,4700,223.75
put,1.1507936507936507,4800,257.7999039
put,1.1507936507936507,4850,276.29992675
put,1.1507936507936507,4900,296.89990235
put,1.1507936507936507,4950,318.49987795
put,1.1507936507936507,5000,341.5999756
put,1.1507936507936507,5100,392.1999512
put,1.1507936507936507,5200,448.54992675
put,1.1507936507936507,5300,510.45007325
put,1.1507936507936507,5400,577.90002445
put,1.1507936507936507,5500,650.2999267499999
put,1.1507936507936507,5600,727.2999267499999
put,1.1507936507936507,5700,808.2498779499999
put,1.1507936507936507,5800,892.5499267499999
put,1.1507936507936507,5900,979.5499267499999
put,1.1507936507936507,6000,1068.8499755
put,1.1507936507936507,6100,1159.75
